,Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Transaction_Day,Transaction_Month,Transaction_Hour,Full_Transaction_Time,Time Gap (hours),Day of Week
226,TX0000000227,Singapore,3746944.38676356,Offshore Transfer,2013-01-10 10:00:00,Person_1,Real Estate,USA,False,Legal,9,5,Bank_200,Luxembourg,10,1,10,2013-01-10 20:00:00,0.0,3
5283,TX0000005284,UAE,2200250.776140324,Cryptocurrency,2013-08-09 03:00:00,Person_10,Real Estate,India,False,Legal,9,0,Bank_77,Switzerland,9,8,3,2013-08-09 06:00:00,0.0,4
9971,TX0000009972,India,3217272.3275080505,Property Purchase,2014-02-20 11:00:00,Person_100,Finance,UAE,False,Illegal,1,5,Bank_264,Switzerland,20,2,11,2014-02-20 22:00:00,0.0,3
5281,TX0000005282,USA,534288.2428450822,Cash Withdrawal,2013-08-09 01:00:00,Person_1000,Oil & Gas,UK,False,Illegal,5,9,Bank_349,Panama,9,8,1,2013-08-09 02:00:00,0.0,4
5550,TX0000005551,Singapore,2169574.577996309,Stocks Transfer,2013-08-20 06:00:00,Person_1002,Luxury Goods,USA,False,Illegal,6,7,Bank_440,Cayman Islands,20,8,6,2013-08-20 12:00:00,0.0,1
2769,TX0000002770,Switzerland,1509547.8323676058,Offshore Transfer,2013-04-26 09:00:00,Person_1008,Casinos,USA,False,Legal,4,9,Bank_407,Cayman Islands,26,4,9,2013-04-26 18:00:00,0.0,4
1395,TX0000001396,Singapore,3869064.8112663934,Cryptocurrency,2013-02-28 03:00:00,Person_1009,Arms Trade,South Africa,False,Illegal,10,7,Bank_214,Luxembourg,28,2,3,2013-02-28 06:00:00,0.0,3
3092,TX0000003093,Switzerland,864302.8204537762,Cash Withdrawal,2013-05-09 20:00:00,Person_1009,Finance,UK,True,Illegal,9,3,Bank_362,Bahamas,9,5,20,2013-05-10 16:00:00,1714.0,3
9170,TX0000009171,Brazil,4434906.677735531,Property Purchase,2014-01-18 02:00:00,Person_1009,Real Estate,USA,False,Illegal,8,0,Bank_37,Panama,18,1,2,2014-01-18 04:00:00,6060.0,5
3140,TX0000003141,Switzerland,701628.6799224337,Offshore Transfer,2013-05-11 20:00:00,Person_101,Casinos,USA,False,Illegal,5,8,Bank_477,Luxembourg,11,5,20,2013-05-12 16:00:00,0.0,5
7207,TX0000007208,Russia,2595183.374430605,Cash Withdrawal,2013-10-28 07:00:00,Person_101,Finance,South Africa,True,Legal,8,5,Bank_239,Panama,28,10,7,2013-10-28 14:00:00,4054.0,0
8261,TX0000008262,India,4365861.316303488,Stocks Transfer,2013-12-11 05:00:00,Person_1011,Luxury Goods,China,False,Illegal,3,8,Bank_422,Singapore,11,12,5,2013-12-11 10:00:00,0.0,2
5638,TX0000005639,UK,3372385.8278089315,Cash Withdrawal,2013-08-23 22:00:00,Person_1012,Finance,South Africa,False,Illegal,9,3,Bank_229,Luxembourg,23,8,22,2013-08-24 20:00:00,0.0,4
6751,TX0000006752,UAE,1873072.368905702,Property Purchase,2013-10-09 07:00:00,Person_1012,Finance,UAE,False,Illegal,3,7,Bank_498,Singapore,9,10,7,2013-10-09 14:00:00,1098.0,2
7302,TX0000007303,USA,2467237.2728243223,Cryptocurrency,2013-11-01 06:00:00,Person_1012,Arms Trade,USA,False,Illegal,4,7,Bank_332,Cayman Islands,1,11,6,2013-11-01 12:00:00,550.0,4
8660,TX0000008661,USA,3269350.200112265,Cash Withdrawal,2013-12-27 20:00:00,Person_1012,Construction,Brazil,False,Legal,7,2,Bank_107,Singapore,27,12,20,2013-12-28 16:00:00,1372.0,4
2274,TX0000002275,Switzerland,248690.27691554104,Property Purchase,2013-04-05 18:00:00,Person_1013,Arms Trade,Switzerland,False,Illegal,4,0,Bank_272,Panama,5,4,18,2013-04-06 12:00:00,0.0,4
4866,TX0000004867,Brazil,1102097.7163207496,Cash Withdrawal,2013-07-22 18:00:00,Person_1013,Real Estate,China,False,Legal,7,9,Bank_335,Cayman Islands,22,7,18,2013-07-23 12:00:00,2592.0,0
2093,TX0000002094,Brazil,4822759.438570937,Cryptocurrency,2013-03-29 05:00:00,Person_1016,Oil & Gas,UAE,False,Illegal,8,5,Bank_259,Luxembourg,29,3,5,2013-03-29 10:00:00,0.0,4
2720,TX0000002721,USA,3937356.214446717,Cryptocurrency,2013-04-24 08:00:00,Person_1016,Luxury Goods,USA,False,Illegal,8,5,Bank_458,Singapore,24,4,8,2013-04-24 16:00:00,630.0,2
6077,TX0000006078,Singapore,3789025.763177952,Cryptocurrency,2013-09-11 05:00:00,Person_1016,Real Estate,UAE,False,Legal,2,4,Bank_53,Cayman Islands,11,9,5,2013-09-11 10:00:00,3354.0,2
4068,TX0000004069,China,3328086.5801104507,Cryptocurrency,2013-06-19 12:00:00,Person_1018,Arms Trade,Singapore,False,Illegal,8,9,Bank_414,Luxembourg,19,6,12,2013-06-20 00:00:00,0.0,2
4755,TX0000004756,Switzerland,4772504.024595876,Offshore Transfer,2013-07-18 03:00:00,Person_1018,Arms Trade,South Africa,False,Illegal,9,3,Bank_88,Singapore,18,7,3,2013-07-18 06:00:00,678.0,3
9260,TX0000009261,India,4627740.797270637,Cash Withdrawal,2014-01-21 20:00:00,Person_1018,Construction,Singapore,False,Illegal,8,4,Bank_237,Luxembourg,21,1,20,2014-01-22 16:00:00,4522.0,1
7435,TX0000007436,Singapore,4493598.21665718,Stocks Transfer,2013-11-06 19:00:00,Person_1019,Casinos,Russia,True,Illegal,1,4,Bank_344,Cayman Islands,6,11,19,2013-11-07 14:00:00,0.0,2
